Distance,Ascent,Name,City,Date
4.19 mi,44.3 ft,4.00mi Run,Lincolnwood,4/26/2020
5.06 mi,60.7 ft,Route from GARMIN 2431 (2020-04-26 20:21:45+00:00),Lincolnwood,4/26/2020
5.36 mi,87.9 ft,5.11mi Run,Itasca,4/26/2020
5.58 mi,280.5 ft,5.06mi Run,Chicago,4/26/2020
3.70 mi,44.6 ft,3.7 EAST Ragnar Option D,Lake Bluff,4/26/2020
1.29 mi,8.9 ft,sis,Chicago,4/26/2020
4.76 mi,67.6 ft,4.75 GreenBay South RAGNAR C,Lake Bluff,4/26/2020
2.83 mi,31.5 ft,zoo,Chicago,4/26/2020
3.14 mi,46.6 ft,3 ish TANGLEY RAGNAR B,Lake Bluff,4/26/2020
4.50 mi,84.6 ft,4.5 mile BluffNAR ROUTE A (Arbor),Lake Bluff,4/26/2020
6.18 mi,79.4 ft,Route from GARMIN 2431 (2020-04-26 19:03:02+00:00),Park Ridge,4/26/2020
10.17 mi,113.5 ft,Route from GARMIN 2431 (2020-04-26 17:59:58+00:00),Lincolnwood,4/26/2020
4.46 mi,239.2 ft,Route from MapMyRun iPhone (2020-04-26),Chicago,4/26/2020
4.15 mi,43.3 ft,Route from GARMIN 2886 (2020-04-26 16:13:13+00:00),Chicago,4/26/2020
2.61 mi,56.4 ft,Route from GARMIN 2886 (2020-04-26 15:20:49+00:00),Chicago,4/26/2020
5.25 mi,62.3 ft,5.03mi Run,Chicago,4/26/2020
4.26 mi,193.2 ft,4.10mi Run,Libertyville,4/26/2020
1.46 mi,12.5 ft,1.43mi Run,River Grove,4/26/2020
4.32 mi,373.4 ft,4.03mi Run,Chicago,4/26/2020
6.57 mi,129.3 ft,Route from GARMIN 2604 (2020-04-26 16:28:08+00:00),Bensenville,4/26/2020
5.24 mi,91.5 ft,Route from GARMIN 2697 (2020-04-26 16:13:26+00:00),Schaumburg,4/26/2020
14.78 mi,186.0 ft,13.05mi Run,Palatine,4/26/2020
5.99 mi,243.4 ft,5.80mi Run,Chicago,4/26/2020
4.22 mi,31.8 ft,Route from Suunto (2020-04-26),Chicago,4/26/2020
0.34 mi,3.0 ft,Route from GARMIN 2431 (2020-04-26 16:30:10+00:00),Park Ridge,4/26/2020
3.02 mi,35.1 ft,Route from GARMIN 2431 (2020-04-26 15:54:11+00:00),Park Ridge,4/26/2020
4.45 mi,36.7 ft,7.03km Run,Lincolnwood,4/26/2020
5.01 mi,65.3 ft,RUN,Highland Park,4/26/2020
6.36 mi,65.6 ft,6.22mi Run,Lincolnwood,4/26/2020
2.71 mi,28.2 ft,Route from MapMyRun iPhone (2020-04-23),Lincolnwood,4/26/2020
5.08 mi,50.5 ft,Route from MapMyRun iPhone (2020-04-26),Lincolnwood,4/26/2020
3.45 mi,70.5 ft,3.06mi Run,Forest Park,4/26/2020
3.29 mi,76.4 ft,3.15mi Run,Lombard,4/26/2020
4.09 mi,73.2 ft,4.04mi Run,Schaumburg,4/26/2020
5.58 mi,169.3 ft,5.00mi Run,Chicago,4/26/2020
1.02 mi,14.4 ft,0.94mi Run,Lincolnwood,4/26/2020
7.21 mi,62.7 ft,Route from GARMIN 2888 (2020-04-26 13:50:53+00:00),Evanston,4/26/2020
2.37 mi,25.6 ft,Route from GARMIN 2431 (2020-04-26 13:57:08+00:00),Lincolnwood,4/26/2020
3.13 mi,36.7 ft,Route from GARMIN 2503 (2020-04-26 13:31:36+00:00),Palatine,4/26/2020
8.40 mi,197.5 ft,8.25mi Run,Bloomingdale,4/26/2020
4.66 mi,118.4 ft,4.53мил. Бег,Deer Park,4/26/2020
0.01 mi,0.0 ft,0.01мил. Бег,Deer Park,4/26/2020
6.02 mi,63.6 ft,Route from GARMIN 3113 (2020-04-26 11:45:23+00:00),Arlington Heights,4/26/2020
4.35 mi,51.8 ft,Route from GARMIN 2697 (2020-04-26 12:02:35+00:00),Libertyville,4/26/2020
6.16 mi,115.5 ft,Route from GARMIN 2697 (2020-04-26 11:31:09+00:00),Elmhurst,4/26/2020
1.10 mi,10.2 ft,1.04mi Run,Oak Park,4/26/2020
7.49 mi,128.6 ft,"LP To North Ave, Zoo, Lakeview",Chicago,4/25/2020
5.53 mi,80.1 ft,5.02mi Run,Chicago,4/25/2020
4.05 mi,43.0 ft,Route from GARMIN 2158 (2020-04-25 22:15:51+00:00),Libertyville,4/25/2020
5.04 mi,311.4 ft,Route from GARMIN 3113 (2020-04-25 22:26:42+00:00),Chicago,4/25/2020
4.35 mi,86.3 ft,Route from GARMIN 2604 (2020-04-25 21:01:34+00:00),Bensenville,4/25/2020
1.96 mi,16.7 ft,Route from GARMIN 2431 (2020-04-25 20:19:45+00:00),Lincolnwood,4/25/2020
8.13 mi,126.6 ft,Route from GARMIN 2431 (2020-04-25 19:23:32+00:00),Park Ridge,4/25/2020
1.92 mi,11.8 ft,1.85mi Run,Oak Park,4/25/2020
13.21 mi,219.2 ft,NS NW Half Marathon,Kenilworth,4/25/2020
4.45 mi,53.1 ft,4.27mi Run,Chicago,4/25/2020
6.16 mi,121.1 ft,Route from GARMIN 2697 (2020-04-25 11:30:45+00:00),Villa Park,4/25/2020
4.17 mi,37.1 ft,3.80mi Run,Rosemont,4/25/2020
0.61 mi,5.6 ft,Route from GARMIN 2431 (2020-04-25 13:59:09+00:00),Lincolnwood,4/25/2020
5.42 mi,84.6 ft,5.25mi Run,Forest Park,4/25/2020
13.51 mi,187.3 ft,13.00mi Run,Grayslake,4/25/2020
4.70 mi,119.1 ft,4.54мил. Бег,Deer Park,4/25/2020
5.35 mi,123.7 ft,5.10mi Run,Roselle,4/25/2020
0.50 mi,0.0 ft,0.50mi Run,Lincolnwood,4/25/2020
1.20 mi,10.5 ft,1.02mi Run,Oak Park,4/25/2020
2.24 mi,15.4 ft,2.11mi Run,Lincolnwood,4/25/2020
4.31 mi,46.9 ft,4 ish starting GB april birthday run,Lake Bluff,4/25/2020
0.16 mi,0.0 ft,Century Park Hill,Mundelein,4/25/2020
0.02 mi,0.0 ft,3.44mi Run,Norridge,4/24/2020
6.03 mi,74.5 ft,Route from GARMIN 2158 (2020-04-24 23:20:12+00:00),Libertyville,4/24/2020
2.16 mi,36.7 ft,2.03mi Run,Lincolnwood,4/24/2020
3.04 mi,61.7 ft,2.92mi Run,Lincolnwood,4/24/2020
2.05 mi,13.8 ft,Route from GARMIN FR920XT (2020-04-24 22:28:23+00:00),Oak Park,4/24/2020
1.21 mi,21.0 ft,1.21mi Run,Lincolnwood,4/24/2020
5.65 mi,120.1 ft,4.56mi Run,Chicago,4/24/2020
5.08 mi,76.8 ft,Route from GARMIN 2604 (2020-04-24 21:27:19+00:00),Bensenville,4/24/2020
9.40 mi,212.6 ft,9-miler to Sweet C's,Palatine,4/24/2020
3.21 mi,127.3 ft,3.04mi Run,Libertyville,4/24/2020
2.52 mi,38.7 ft,2.45mi Run,Schaumburg,4/24/2020
4.08 mi,39.4 ft,Route from GARMIN 2431 (2020-04-24 20:13:47+00:00),Lincolnwood,4/24/2020
2.80 mi,19.7 ft,2.75mi Run,La Grange Park,4/24/2020
2.14 mi,31.8 ft,2.04mi Run,Elk Grove Village,4/24/2020
3.15 mi,20.3 ft,Route from GARMIN FR220 (2020-04-24 17:11:09+00:00),Chicago,4/24/2020
0.04 mi,1.0 ft,4.54mi Run,Norridge,4/24/2020
3.35 mi,33.5 ft,Run 3.30mi on 4/24/20,Vernon Hills,4/24/2020
3.24 mi,45.9 ft,3.12mi Run,Evanston,4/24/2020
10.46 mi,126.0 ft,10.01mi Run,Lincolnwood,4/24/2020
4.37 mi,107.9 ft,4.00mi Run,Chicago,4/24/2020
4.22 mi,31.5 ft,4.00mi Run,Lincolnwood,4/24/2020
2.65 mi,20.3 ft,Route from GARMIN 2431 (2020-04-24 13:49:34+00:00),Lincolnwood,4/24/2020
8.02 mi,101.7 ft,Route from GARMIN FR220 (2020-04-24 12:32:08+00:00),Glenview,4/24/2020
2.88 mi,30.5 ft,Route from GARMIN 2888 (2020-04-24 13:27:28+00:00),Evanston,4/24/2020
2.49 mi,44.6 ft,2.41mi Run,Lombard,4/24/2020
4.46 mi,79.1 ft,Route from GARMIN 2886 (2020-04-24 12:10:09+00:00),Chicago,4/24/2020
8.31 mi,128.6 ft,Route from GARMIN 3113 (2020-04-24 11:26:49+00:00),Arlington Heights,4/24/2020
2.12 mi,24.3 ft,Quick 2 miler,Skokie,4/24/2020
5.71 mi,85.0 ft,5.55mi Run,Forest Park,4/24/2020
4.64 mi,120.4 ft,4.50мил. Бег,Deer Park,4/24/2020
2.07 mi,51.8 ft,2.01mi Run,Chicago,4/24/2020
3.95 mi,54.8 ft,3.84mi Run,Lincolnwood,4/24/2020
6.90 mi,78.4 ft,6.35mi Run,Grayslake,4/24/2020
1.05 mi,10.8 ft,1.03mi Run,Oak Park,4/24/2020
1.05 mi,10.8 ft,1.03mi Run,Oak Park,4/24/2020
4.30 mi,47.9 ft,4.07mi Run,Itasca,4/23/2020
7.03 mi,232.3 ft,7 Mile Run,Chicago,4/23/2020
7.05 mi,61.7 ft,6.62mi Run,Elk Grove Village,4/23/2020
4.03 mi,49.2 ft,Route from GARMIN 2158 (2020-04-23 23:48:42+00:00),Libertyville,4/23/2020
5.74 mi,81.4 ft,Route from GARMIN 2697 (2020-04-23 22:16:00+00:00),Elmhurst,4/23/2020
4.39 mi,106.0 ft,Route from GARMIN 3113 (2020-04-23 22:16:41+00:00),Chicago,4/23/2020
2.15 mi,27.6 ft,2.06mi Run,Bensenville,4/23/2020
8.79 mi,266.4 ft,7.32mi Run,Chicago,4/23/2020
6.22 mi,65.3 ft,Route from GARMIN 2988 (2020-04-23 21:02:16+00:00),Lincolnwood,4/23/2020
7.27 mi,68.2 ft,Route from GARMIN 2431 (2020-04-23 20:35:50+00:00),Lincolnwood,4/23/2020
6.31 mi,98.4 ft,Route from GARMIN 2604 (2020-04-23 20:22:52+00:00),Bensenville,4/23/2020
3.22 mi,57.1 ft,3.22mi Run,Park City,4/23/2020
3.01 mi,31.8 ft,2.95mi Run,Oak Park,4/23/2020
3.82 mi,36.7 ft,6.04km Run,Lincolnwood,4/23/2020
3.30 mi,111.2 ft,3.10mi Run,Chicago,4/23/2020
3.30 mi,110.6 ft,3.10mi Run,Chicago,4/23/2020
5.27 mi,78.1 ft,5.02mi Run,Chicago,4/23/2020
3.53 mi,29.5 ft,Route from GARMIN FR220 (2020-04-23 16:57:57+00:00),Chicago,4/23/2020
3.76 mi,55.8 ft,3.64mi Run,Park City,4/23/2020
3.14 mi,37.1 ft,Route from GARMIN 2503 (2020-04-23 12:11:30+00:00),Evanston,4/23/2020
3.07 mi,18.7 ft,Route from GARMIN 2431 (2020-04-23 12:58:02+00:00),Lincolnwood,4/23/2020
6.80 mi,410.4 ft,6.44mi Run,Chicago,4/23/2020
5.41 mi,84.3 ft,5.25mi Run,Forest Park,4/23/2020
3.06 mi,53.5 ft,2.78mi Run,Chicago,4/23/2020
7.42 mi,178.8 ft,7 Miler Around Reimer,Palatine,4/23/2020
3.20 mi,97.4 ft,3.05mi Run,Lombard,4/23/2020
3.94 mi,45.6 ft,Route from GARMIN 2431 (2020-04-23 10:51:56+00:00),Deerfield,4/23/2020
2.52 mi,18.0 ft,2.41mi Run,Elmhurst,4/23/2020
3.46 mi,59.4 ft,RUN,Highland Park,4/23/2020
6.32 mi,143.4 ft,6.01mi Run,Bloomingdale,4/23/2020
1.04 mi,10.8 ft,0.99mi Run,Oak Park,4/23/2020
3.40 mi,73.5 ft,3.12mi Run,Rosemont,4/23/2020
1.00 mi,9.5 ft,1 mile,Cicero,4/23/2020
7.66 mi,143.4 ft,Lake Shore West to Irving Park Easy,Chicago,4/22/2020
3.66 mi,138.5 ft,Route from GARMIN 3113 (2020-04-22 23:29:20+00:00),Chicago,4/22/2020
6.09 mi,72.5 ft,Route from MapMyRun iPhone (2020-04-19),Lincolnwood,4/22/2020
3.88 mi,40.4 ft,Route from MapMyRun iPhone (2020-04-20),Lincolnwood,4/22/2020
2.96 mi,26.2 ft,Route from MapMyRun iPhone (2020-04-22),Lincolnwood,4/22/2020
4.64 mi,197.5 ft,4.40mi Run,Chicago,4/22/2020
4.36 mi,162.7 ft,4.02mi Run,Chicago,4/22/2020
5.40 mi,256.6 ft,5.02mi Run,Chicago,4/22/2020
2.41 mi,35.8 ft,Rainy run,Lincolnwood,4/22/2020
6.78 mi,85.6 ft,Route from GARMIN 2431 (2020-04-22 20:27:24+00:00),Lincolnwood,4/22/2020
7.37 mi,265.7 ft,7.10mi Run,Chicago,4/22/2020
7.37 mi,265.7 ft,7.10mi Run,Chicago,4/22/2020
3.41 mi,71.2 ft,Route from GARMIN 2697 (2020-04-22 15:58:08+00:00),Schaumburg,4/22/2020
3.09 mi,15.1 ft,3.01mi Run,Chicago,4/22/2020
5.10 mi,36.1 ft,5.00mi Run,Chicago,4/22/2020
1.54 mi,6.2 ft,1.52mi Run,La Grange Park,4/22/2020
2.81 mi,19.7 ft,2.77mi Run,La Grange Park,4/22/2020
5.22 mi,44.3 ft,5.37mi Run,Norridge,4/22/2020
6.38 mi,79.1 ft,6.25mi Run,Palatine,4/22/2020
1.35 mi,19.0 ft,4.97mi Run,River Grove,4/22/2020
1.91 mi,18.7 ft,Route from GARMIN FR220 (2020-04-22 17:05:48+00:00),Chicago,4/22/2020
3.54 mi,45.6 ft,3.10mi Run,Chicago,4/22/2020
5.20 mi,632.9 ft,5.10mi Run,Chicago,4/22/2020
4.95 mi,274.6 ft,4.44mi Run,Chicago,4/22/2020
3.18 mi,49.9 ft,3.06mi Run,Evanston,4/22/2020
4.11 mi,56.8 ft,3.97mi Run,Oak Park,4/22/2020
2.12 mi,26.9 ft,Route from GARMIN 2431 (2020-04-22 13:40:16+00:00),Lincolnwood,4/22/2020
6.36 mi,63.6 ft,6.18mi Run,Evanston,4/20/2020
4.65 mi,116.8 ft,4.50мил. Бег,Deer Park,4/20/2020
1.95 mi,25.3 ft,Route from GARMIN 2431 (2020-04-20 13:38:45+00:00),Lincolnwood,4/20/2020
5.00 mi,40.0 ft,4.63mi Run,Norridge,4/20/2020
3.20 mi,53.8 ft,3.09mi Run,Lombard,4/20/2020
3.17 mi,50.2 ft,3.10mi Run,Palatine,4/20/2020
3.20 mi,53.8 ft,3.09mi Run,Lombard,4/20/2020
3.35 mi,33.5 ft,Run 3.30mi on 4/20/20,Vernon Hills,4/20/2020
4.65 mi,116.8 ft,4.50мил. Бег,Deer Park,4/20/2020
4.65 mi,116.8 ft,4.50мил. Бег,Deer Park,4/20/2020
5.41 mi,87.3 ft,5.25mi Run,Forest Park,4/20/2020
3.35 mi,43.3 ft,Route from Suunto (2020-04-20),Chicago,4/20/2020
3.47 mi,68.2 ft,3.29mi Run,Chicago,4/20/2020
6.21 mi,97.8 ft,5.86mi Run,Grayslake,4/20/2020
2.48 mi,36.7 ft,2.37mi Run,Lincolnwood,4/20/2020
0.96 mi,9.5 ft,1.43mi Run,Oak Park,4/20/2020
0.15 mi,0.0 ft,Route from vivoactive HR (2020-04-19 20:38:58+00:00),Chicago,4/20/2020
10.11 mi,129.6 ft,Route from GARMIN 2988 (2020-04-19 20:50:01+00:00),Lincolnwood,4/20/2020
9.03 mi,161.4 ft,Route from GARMIN 2158 (2020-04-19 18:41:29+00:00),Libertyville,4/19/2020
2.05 mi,26.9 ft,2.05mi Run,,4/19/2020
2.05 mi,27.2 ft,2.05mi Run,Chicago,4/19/2020
4.11 mi,53.5 ft,Route from GARMIN 2503 (2020-04-19 21:34:38+00:00),Palatine,4/19/2020
3.11 mi,63.6 ft,"3 mile bday whitney, megan, kate",Lake Bluff,4/19/2020
5.19 mi,76.4 ft,Route from GARMIN 2431 (2020-04-19 21:09:03+00:00),Lincolnwood,4/19/2020
7.33 mi,135.2 ft,Route from GARMIN 3113 (2020-04-19 20:14:32+00:00),Chicago,4/19/2020
2.04 mi,83.3 ft,1.87mi Run,,4/19/2020
4.02 mi,63.3 ft,Route from GARMIN 2156 (2020-04-19 20:07:44+00:00),,4/19/2020
10.46 mi,126.0 ft,10.01mi Run,Lincolnwood,4/19/2020
3.20 mi,67.6 ft,3.10mi Run,Chicago,4/19/2020
0.42 mi,3.6 ft,Route from GARMIN FR220 (2020-04-18 20:50:11+00:00),Chicago,4/19/2020
3.55 mi,35.8 ft,Route from GARMIN FR220 (2020-04-17 17:38:09+00:00),Chicago,4/19/2020
3.32 mi,26.9 ft,Route from GARMIN FR220 (2020-04-19 17:48:30+00:00),Chicago,4/19/2020
7.74 mi,201.1 ft,6.53mi Run,Hoffman Estates,4/19/2020
3.36 mi,59.1 ft,3.28mi Run,Lombard,4/19/2020
5.39 mi,205.7 ft,5.03mi Run,Chicago,4/19/2020
4.08 mi,70.2 ft,4.02mi Run,Hoffman Estates,4/19/2020
4.42 mi,410.4 ft,4.04mi Run,Chicago,4/19/2020
2.13 mi,12.8 ft,3.29km Run,Lincolnwood,4/19/2020
2.13 mi,13.1 ft,☀️⭕️☀️⭕️,Oak Park,4/19/2020
3.82 mi,33.5 ft,6.04km Run,Lincolnwood,4/19/2020
2.30 mi,14.1 ft,Route from MapMyRun iPhone (2020-04-19),Chicago,4/19/2020
4.61 mi,122.7 ft,4.39mi Run,Chicago,4/19/2020
6.48 mi,85.6 ft,6.37mi Run,Wheeling,4/19/2020
4.58 mi,84.3 ft,RUN,Highland Park,4/19/2020
5.43 mi,85.0 ft,5.25mi Run,Forest Park,4/19/2020
3.19 mi,22.6 ft,Route from GARMIN 2431 (2020-04-19 14:05:04+00:00),Lincolnwood,4/19/2020
3.56 mi,42.0 ft,3.03mi Run,Itasca,4/19/2020
1.03 mi,19.7 ft,1.00mi Run,Itasca,4/19/2020
7.18 mi,211.6 ft,7.00mi Run,Bloomingdale,4/19/2020
4.57 mi,39.4 ft,4.40mi Run,Grayslake,4/19/2020
4.67 mi,120.1 ft,4.52мил. Бег,Deer Park,4/19/2020
1.22 mi,31.5 ft,1.17mi Run,Lincolnwood,4/19/2020
3.51 mi,68.2 ft,3.05mi Run,Chicago,4/19/2020
8.34 mi,101.7 ft,Route from GARMIN 3113 (2020-04-19 11:32:06+00:00),Arlington Heights,4/19/2020
0.91 mi,9.5 ft,1.17mi Run,Oak Park,4/19/2020
3.11 mi,35.4 ft,Route from GARMIN 2431 (2020-04-19 11:22:41+00:00),Deerfield,4/19/2020
1.95 mi,24.6 ft,Route from GARMIN 2697 (2020-04-19 11:31:32+00:00),Elmhurst,4/19/2020
4.62 mi,41.3 ft,4.78mi Run,Norridge,4/19/2020
20.05 mi,416.3 ft,"20 Miler, Palatine Trail & Paul Douglas",Palatine,4/18/2020
1.28 mi,22.0 ft,Run 1.26mi on 1/18/20,Vernon Hills,4/18/2020
5.26 mi,63.0 ft,5.03mi Run,Addison,4/18/2020
4.12 mi,235.2 ft,Route from MapMyRun iPhone (2020-04-12),Chicago,4/18/2020
4.27 mi,382.9 ft,Route from MapMyRun iPhone (2020-04-18),Chicago,4/18/2020
3.84 mi,33.1 ft,Route from GARMIN FR920XT (2020-04-18 21:13:48+00:00),Oak Park,4/18/2020
2.35 mi,39.7 ft,2.28mi Run,Lombard,4/18/2020
3.30 mi,41.3 ft,Route from GARMIN 2697 (2020-04-18 20:21:51+00:00),Libertyville,4/18/2020
3.78 mi,46.6 ft,3.61mi Run,Chicago,4/18/2020
4.84 mi,153.2 ft,4.72mi Run,Chicago,4/18/2020
4.72 mi,66.6 ft,Route from GARMIN 2604 (2020-04-18 19:23:45+00:00),Bensenville,4/18/2020
6.94 mi,92.8 ft,Route from GARMIN FR220 (2020-04-18 15:11:13+00:00),Glenview,4/18/2020
2.07 mi,44.3 ft,Route from GARMIN 2156 (2020-04-18 19:20:36+00:00),Hillside,4/18/2020
3.01 mi,42.7 ft,Route from GARMIN 2156 (2020-04-18 18:42:25+00:00),Elmhurst,4/18/2020
3.98 mi,79.4 ft,Route from GARMIN 2697 (2020-04-18 17:23:26+00:00),Schaumburg,4/18/2020
1.13 mi,16.7 ft,4.19mi Run,River Grove,4/18/2020
3.00 mi,66.6 ft,2.85mi Run,Chicago,4/18/2020
2.53 mi,17.4 ft,Route from GARMIN FR920XT (2020-04-18 18:15:23+00:00),Oak Park,4/18/2020
5.16 mi,157.8 ft,5.00mi Run,Lincolnwood,4/18/2020
5.51 mi,43.3 ft,Route from GARMIN 2431 (2020-04-18 17:40:36+00:00),Lincolnwood,4/18/2020
2.08 mi,37.4 ft,2.02mi Run,Lombard,4/18/2020
3.50 mi,58.4 ft,3.41mi Run,Lombard,4/18/2020
5.31 mi,62.7 ft,5.00mi Run,Lincolnwood,4/18/2020
5.27 mi,91.2 ft,5.25mi Run,Rolling Meadows,4/18/2020
10.94 mi,398.6 ft,7.48mi Run,Chicago,4/18/2020
4.60 mi,408.1 ft,4.06mi Run,Chicago,4/18/2020
16.06 mi,385.8 ft,16 mile Alpine Route,Lake Zurich,4/18/2020
3.40 mi,44.6 ft,3.16mi Run,Evanston,4/18/2020
10.04 mi,101.4 ft,Route from GARMIN 2431 (2020-04-18 15:35:54+00:00),Lincolnwood,4/18/2020
2.20 mi,28.5 ft,2.21mi Run,River Grove,4/18/2020
2.66 mi,54.5 ft,2.54mi Run,Itasca,4/18/2020
3.32 mi,31.8 ft,Route from GARMIN FR920XT (2020-04-18 14:57:33+00:00),Oak Park,4/18/2020
3.36 mi,55.4 ft,RUN,Highland Park,4/18/2020
5.43 mi,86.3 ft,5.25mi Run,Forest Park,4/18/2020
7.35 mi,60.4 ft,Route from GARMIN 2888 (2020-04-18 14:44:26+00:00),Evanston,4/18/2020
5.03 mi,40.4 ft,Route from GARMIN 2503 (2020-04-18 15:16:23+00:00),Evanston,4/18/2020
4.30 mi,108.6 ft,4.05mi Run,Chicago,4/18/2020
5.42 mi,218.2 ft,5.11mi Run,Chicago,4/18/2020
6.51 mi,66.3 ft,6.19mi Run,Lincolnwood,4/18/2020
1.53 mi,20.3 ft,1.53mi Run,Riverwoods,4/18/2020
5.54 mi,122.4 ft,4.57мил. Бег,Deer Park,4/18/2020
4.70 mi,120.1 ft,"4,57мил. Бег",Deer Park,4/18/2020
2.65 mi,38.4 ft,Route from GARMIN 2431 (2020-04-18 13:41:41+00:00),Lincolnwood,4/18/2020
12.40 mi,191.9 ft,12.00mi Run,Grayslake,4/18/2020
3.07 mi,31.2 ft,Saturday slow miles,Skokie,4/18/2020
2.09 mi,27.9 ft,2.09mi Run,Libertyville,4/18/2020
3.13 mi,47.9 ft,Route from GARMIN 3113 (2020-04-18 12:39:27+00:00),Arlington Heights,4/18/2020
1.46 mi,30.8 ft,1.38mi Run,Lincolnwood,4/18/2020
6.03 mi,112.5 ft,Route from GARMIN 2697 (2020-04-18 11:30:40+00:00),Elmhurst,4/18/2020
1.10 mi,24.6 ft,1.09mi Run,Oak Park,4/18/2020
1.01 mi,8.9 ft,Route from GARMIN 3113 (2020-04-18 11:37:04+00:00),Arlington Heights,4/18/2020
5.31 mi,273.6 ft,5 Mile Run,Chicago,4/17/2020
1.38 mi,22.6 ft,1.00mi Run,Itasca,4/17/2020
8.03 mi,174.5 ft,5.80mi Run,Chicago,4/17/2020
3.29 mi,110.6 ft,3.10mi Run,Chicago,4/17/2020
3.16 mi,35.8 ft,Run 3.10mi on 4/17/20,Vernon Hills,4/17/2020
2.51 mi,28.9 ft,Route from GARMIN 2503 (2020-04-16 21:48:29+00:00),Evanston,4/17/2020
1.66 mi,17.4 ft,1.60mi Run,Lincolnwood,4/17/2020
6.37 mi,99.4 ft,6.22mi Run,Palatine,4/17/2020
3.86 mi,38.1 ft,6.05km Run,Lincolnwood,4/17/2020
1.84 mi,16.4 ft,1.77mi Run,Lincolnwood,4/17/2020
2.27 mi,24.0 ft,2.25mi Run,Oak Park,4/17/2020
1.43 mi,10.5 ft,Route from GARMIN 2431 (2020-04-17 13:20:02+00:00),Lincolnwood,4/17/2020
4.20 mi,38.1 ft,Route from MapMyRun iPhone (2020-04-17),Lincolnwood,4/17/2020
8.04 mi,102.0 ft,Route from GARMIN 3113 (2020-04-17 11:31:49+00:00),Arlington Heights,4/17/2020
6.89 mi,99.7 ft,6.40mi Run,Grayslake,4/17/2020
6.57 mi,149.6 ft,6.22mi Run,Bloomingdale,4/17/2020
6.01 mi,90.6 ft,6 mile holly bday avoid bike path,Lake Bluff,4/17/2020
182.79 mi,270.7 ft,20.01mi Run,Rosemont,4/16/2020
3.80 mi,160.4 ft,3.80mi Run,Chicago,4/16/2020
0.16 mi,0.0 ft,0.15mi Run,Chicago,4/16/2020
9.89 mi,286.4 ft,7.16mi Run,Chicago,4/16/2020
1.02 mi,5.9 ft,Route from GARMIN 2431 (2020-04-16 23:22:38+00:00),Lincolnwood,4/16/2020
4.28 mi,88.9 ft,Route from GARMIN 3113 (2020-04-16 22:46:00+00:00),Chicago,4/16/2020
1.92 mi,38.7 ft,1.84mi Run,Lincolnwood,4/16/2020
2.44 mi,32.2 ft,2.36mi Run,Lincolnwood,4/16/2020
3.30 mi,41.7 ft,Route from GARMIN 2697 (2020-04-16 22:46:56+00:00),Libertyville,4/16/2020
3.79 mi,43.3 ft,Route from GARMIN 2431 (2020-04-16 22:34:38+00:00),Lincolnwood,4/16/2020
3.21 mi,56.1 ft,3.21mi Run,Park City,4/16/2020
2.29 mi,22.3 ft,2.19mi Run,Schaumburg,4/16/2020
10.07 mi,126.3 ft,Route from GARMIN 2988 (2020-04-16 21:09:46+00:00),Lincolnwood,4/16/2020
6.01 mi,94.2 ft,Route from GARMIN 2697 (2020-04-16 21:33:06+00:00),Elmhurst,4/16/2020
4.00 mi,132.9 ft,4.00mi Run,Chicago,4/16/2020
5.61 mi,97.8 ft,Route from GARMIN 2604 (2020-04-16 21:28:59+00:00),Bensenville,4/16/2020
8.21 mi,112.5 ft,Route from GARMIN 2431 (2020-04-16 21:03:10+00:00),Lincolnwood,4/16/2020
3.95 mi,45.9 ft,3.78mi Run,Oak Park,4/16/2020
4.17 mi,48.9 ft,Route from GARMIN 2431 (2020-04-16 20:36:53+00:00),Park Ridge,4/16/2020
3.99 mi,36.4 ft,3.57mi Run,Evanston,4/16/2020
10.54 mi,216.9 ft,10-Miler East,Palatine,4/16/2020
3.11 mi,54.8 ft,3.10mi Run,Palatine,4/16/2020
5.25 mi,140.1 ft,5.03mi Run,Lincolnwood,4/16/2020
3.24 mi,16.7 ft,Test,Harwood Heights,4/16/2020
3.48 mi,41.7 ft,Route from GARMIN 2431 (2020-04-16 17:51:37+00:00),Lincolnwood,4/16/2020
0.00 mi,0.0 ft,0.00mi Run,Palatine,4/16/2020
3.15 mi,51.2 ft,Route from GARMIN 2697 (2020-04-16 14:01:53+00:00),Schaumburg,4/16/2020
4.38 mi,32.2 ft,Route from GARMIN FR220 (2020-04-16 17:12:45+00:00),Chicago,4/16/2020
3.43 mi,36.7 ft,Route from Suunto (2020-04-16),Chicago,4/16/2020
3.12 mi,32.8 ft,3.02mi Run,Itasca,4/16/2020
4.30 mi,108.6 ft,4.05mi Run,Chicago,4/16/2020
3.56 mi,69.2 ft,3.42mi Run,Lombard,4/16/2020
3.63 mi,109.3 ft,3.08мил. Бег,Deer Park,4/16/2020
5.35 mi,85.0 ft,5.35mi Run,Forest Park,4/16/2020
2.46 mi,19.7 ft,Route from GARMIN 2431 (2020-04-16 12:45:36+00:00),Lincolnwood,4/16/2020
3.34 mi,54.8 ft,RUN,Highland Park,4/16/2020
1.13 mi,14.1 ft,1.13mi Run,Oak Park,4/16/2020
3.21 mi,38.4 ft,Route from GARMIN 2503 (2020-04-16 11:01:04+00:00),Evanston,4/16/2020
4.03 mi,48.6 ft,Route from GARMIN 2158 (2020-04-16 00:27:26+00:00),Libertyville,4/15/2020
